<--서울특별시 공사현황 주소-->
서울특별시 강남구 일원동 711 일원
서울특별시 양천구 목동 405-251
서울특별시 동대문구 전농동 6 서울 전역
"서울특별시 종로구 예지동 179-2 서울시 종로구 예지동 85번지 일대(세운4구역, 구역면적 32,223.7m2"
서울특별시 성북구 삼선동5가 411
서울특별시 강서구 화곡동 967-5
서울특별시 강서구 방화동 890 강서센터 관내
서울특별시 구로구 가리봉동 140
서울특별시 서초구 신원동 427-1
서울특별시 동대문구 답십리동 12번지 일원
서울특별시 양천구 목동 405-251 협성빌딩 B동 3층
서울특별시 강동구 강일동 18 일대
서울특별시 마포구 대흥동 804
서울특별시 노원구 중계동 3
"서울특별시 양천구 목동 42 ""양천""""영등포"""
서울특별시 성북구 하월곡동 67-47 관내 성북강북 임대아파트
서울특별시 송파구 거여동 71-13
서울특별시 강동구 강일동 41-1 외
서울특별시 강동구 강일동 427
서울특별시 강남구 개포동 12 대치아파트 외 SH
서울특별시 동작구 상도동 430
서울특별시 구로구 천왕동 282 천왕이펜하우스1 외 26개단지
서울특별시 강동구 상일동 502-2 일대
서울특별시 중구 소공동 1
서울특별시 강남구 역삼동 821 108(대치동)
서울특별시 강서구 화곡동 905-11
서울특별시 중구 충무로4가 12-1
서울특별시 송파구 송파동 171
서울특별시 은평구 대조동 88
서울특별시 은평구 대조동 2-9
서울특별시 강남구 대치동 963
서울특별시 중구 봉래동1가 57-2 외 32필지
서울특별시 도봉구 방학동 701-66 외 소규모 임대
서울특별시 동작구 흑석동 253-89
서울특별시 동작구 신대방동 694-32
서울특별시 성동구 하왕십리동 983-1
서울특별시 강남구 삼성동 79 일대
서울특별시 강남구 삼성동 79 일대
서울특별시 서대문구 홍은동 104-4
서울특별시 서대문구 홍은동 338-5 일원
서울특별시 서대문구 홍은동 11-111
서울특별시 서대문구 홍은동 104-4
서울특별시 강서구 화곡동 1027-50
서울특별시 강서구 화곡동 1027-50 일원
서울특별시 금천구 독산동 296-2
서울특별시 동작구 흑석동 84-49
"서울특별시 성북구 동소문동1가 1-4 ,서울특별시 성북구 동소문동1가 1-2"
서울특별시 성북구 동소문동1가 1 1-4외 1필지 일대
서울특별시 도봉구 창동 1-25
서울특별시 양천구 신정동 873-2
"서울특별시 강동구 성내동 451 (8호선연장 1,2공구)"
서울특별시 강남구 삼성동 168 일대
서울특별시 성북구 동소문동1가 1-4
서울특별시 관악구 신림동 1570-5 매원빌딩 2층
서울특별시 서초구 우면동 141
서울특별시 관악구 신림동 140-2
서울특별시 송파구 풍납동 올림픽대교 남단
서울특별시 동대문구 회기동 산4-102
